Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 12.635987, 8.407472, 15.220891, 3.287092, -3.517834, -2.174613, 1.417578, 
50, 12.658360, 8.561473, 15.376509, 3.112369, -3.494448, 0.467704, 1.435366, 
50, 12.677022, 8.707282, 15.523508, 2.939966, -3.448054, 0.927880, 1.451536, 
50, 12.692481, 8.844898, 15.661989, 2.769633, -3.406675, 0.827592, 1.466226, 
50, 12.705189, 8.974333, 15.792046, 2.601137, -3.369919, 0.735126, 1.479560, 
50, 12.715542, 9.095605, 15.913759, 2.434268, -3.337373, 0.650909, 1.491646, 
50, 12.723891, 9.208739, 16.027201, 2.268837, -3.308632, 0.574826, 1.502578, 
50, 12.730544, 9.313762, 16.132435, 2.104671, -3.283311, 0.506420, 1.512443, 
50, 12.735774, 9.410702, 16.229516, 1.941618, -3.261057, 0.445070, 1.521315, 
50, 12.739820, 9.499587, 16.318493, 1.779540, -3.241554, 0.390063, 1.529257, 
50, 12.742894, 9.580445, 16.399408, 1.618314, -3.224520, 0.340693, 1.536327, 
50, 12.745177, 9.653300, 16.472300, 1.457829, -3.209705, 0.296282, 1.542575, 
50, 12.746831, 9.718178, 16.537199, 1.297984, -3.196898, 0.256156, 1.548043, 
50, 12.747991, 9.775101, 16.594134, 1.138689, -3.185911, 0.219736, 1.552768, 
50, 12.748776, 9.824088, 16.643127, 0.979859, -3.176587, 0.186468, 1.556781, 
50, 12.749286, 9.865416, 16.684458, 0.826625, -3.064696, 2.237830, 1.560129, 
50, 12.749605, 9.899688, 16.718731, 0.685469, -2.823119, 4.831541, 1.562879, 
50, 12.749794, 9.927571, 16.746615, 0.557673, -2.555918, 5.344021, 1.565099, 
50, 12.749901, 9.949729, 16.768773, 0.443169, -2.290083, 5.316703, 1.566853, 
50, 12.749957, 9.966824, 16.785868, 0.341903, -2.025319, 5.295278, 1.568199, 
50, 12.749984, 9.979516, 16.798560, 0.253834, -1.761377, 5.278830, 1.569195, 
50, 12.749995, 9.988462, 16.807507, 0.178931, -1.498050, 5.266551, 1.569896, 
50, 12.749999, 9.994321, 16.813365, 0.117173, -1.235162, 5.257749, 1.570353, 
50, 12.750000, 9.997748, 16.816793, 0.068544, -0.972574, 5.251774, 1.570621, 
50, 12.750000, 9.999400, 16.818444, 0.033036, -0.710170, 5.248065, 1.570750, 
50, 12.750000, 9.999932, 16.818976, 0.010643, -0.447868, 5.246041, 1.570791, 
50, 12.750000, 10.000000, 16.819045, 0.001362, -0.185609, 5.245185, 1.570796, 
50, 12.750000, 10.000000, 16.819045, 0.000000, -0.027242, 3.167330, 1.570796, 
